Openness,infogain,Conscientiousness,infogain,Extraversion,infogain,Agreeableness,infogain,Neuroticism,infogain
負ける,1.0458196443519086e-05,バン,9.457294548154138e-06,どる,1.1787721478806468e-05,ゆう,1.0980380712233284e-05,って,1.213955064760519e-05
言う,1.0377621708967943e-05,それでは,9.413384487566567e-06,苦しむ,1.1727105283187989e-05,き,1.0779922316683788e-05,られる,1.208537225472206e-05
られる,1.0145565340180518e-05,とる,9.335073425043028e-06,当たる,1.1715285419100496e-05,ねん,1.072114821099035e-05,ちゃう,1.2063523889493943e-05
賢い,1.004941967286399e-05,…,9.331340017904033e-06,かしら,1.1476455221481885e-05,彩る,1.0663268074306842e-05,ん,1.1914106516686118e-05
Ｑ,9.931843521160388e-06,生,9.326769684570024e-06,ｄ,1.1336629904823425e-05,ど,1.0517714838176317e-05,はぁ,1.1830455482586544e-05
ん,9.857981410288374e-06,崩れ落ちる,9.067001710882927e-06,稼ぐ,1.1266411225063777e-05,ござる,1.039947535275143e-05,ある,1.1747828086772216e-05
だけ,9.720889120545806e-06,待ち望む,9.018422511331003e-06,どっこいしょ,1.098755674777685e-05,とりあえず,1.0327389951103605e-05,あー,1.1706386527365886e-05
です,9.650343657408023e-06,稼げる,8.984301092862523e-06,とりあえず,1.0895578342995371e-05,いみい,1.0291439418663728e-05,による,1.1601635986902004e-05
っていう,9.639017334528432e-06,な,8.816600234218264e-06,ん,1.0779562906959583e-05,ねえ,1.0254345677696008e-05,Ｑ,1.1438297921273488e-05
手堅い,9.575112736137648e-06,脱,8.804814433327479e-06,ほぼ,1.072007331148761e-05,する,1.0229000185324466e-05,煙る,1.1435039269369618e-05
￣,9.571849263090293e-06,りん,8.793266684348211e-06,って,1.0707751918137554e-05,”,1.017441937334329e-05,どっこいしょ,1.1424743540322524e-05
り,9.522486213775494e-06,いむ,8.777364512213559e-06,やん,1.0659285558323184e-05,描ける,1.0108483477710983e-05,すぎる,1.1368802533717748e-05
えらべる,9.442909048140713e-06,小,8.75738541727955e-06,よ,1.0654627177530962e-05,はじめる,1.005656556352097e-05,わ,1.1365065676227637e-05
ためる,9.375396669453195e-06,えらべる,8.609222925559656e-06,たぶん,1.0624623230870434e-05,勝つ,1.0021906016066673e-05,ｄ,1.1355587905992337e-05
いう,9.361091340531758e-06,ためる,8.604096740416622e-06,脱,1.0485539683635636e-05,しか,9.931942701379981e-06,くれる,1.1269079006837046e-05
ぐるぐる,9.329628732457351e-06,彩る,8.577601334436302e-06,する,1.0312000388923437e-05,が,9.920315602762741e-06,だ,1.1025655139662582e-05
き,9.328946986686404e-06,作る,8.480986193881712e-06,ゆめ,1.0220207563915729e-05,なる,9.71444569752844e-06,塗る,1.0995508710975876e-05
゜,9.25788332661881e-06,ある,8.458258558996512e-06,むっつり,1.0148215908611924e-05,とれる,9.647018345493308e-06,きかす,1.0672181966930872e-05
終える,9.21425708710899e-06,すぎる,8.45483056399754e-06,賢い,1.010702687542775e-05,話せる,9.537458591446502e-06,手堅い,1.0524014531498871e-05
なく,9.20132605619628e-06,よろしく,8.26472457848837e-06,ε,1.0053396786724456e-05,ご,9.51923310255065e-06,むっつり,1.0495655550446514e-05
おもろい,9.172852736050174e-06,出る,8.200295361859844e-06,変わる,9.89956573849149e-06,“,9.492149119716409e-06,崩れ落ちる,1.0424418462329221e-05
ね,9.168697395645076e-06,当たる,8.184577304781726e-06,よむ,9.881675980927263e-06,ある,9.441883877414625e-06,いる,1.0353477176705539e-05
行く,9.165751015172141e-06,みる,8.08794669626689e-06,に,9.819710698466544e-06,ぬくぬく,9.388803092424958e-06,ぜひ,1.0286344309884399e-05
あさる,9.160146009712378e-06,貼る,8.073243002892916e-06,～,9.765445046716614e-06,頂ける,9.314255060899335e-06,初,1.0216174875732342e-05
まく,9.15974903725747e-06,出す,8.057150455820228e-06,けども,9.758675688975593e-06,思う,9.307817699144572e-06,～,1.0162390678747357e-05
つつ,9.129025772991461e-06,苦しむ,8.01589458621077e-06,話せる,9.707853260709776e-06,とても,9.209812251498306e-06,帰る,1.008251700251872e-05
かも,9.100725248400998e-06,ぜひ,8.004211670131767e-06,こりる,9.630102384750039e-06,いい,9.05295143027729e-06,まったり,1.002631740520954e-05
新しい,9.094762814743085e-06,てか,7.988498346045425e-06,ねだる,9.596973156722477e-06,お,9.034586159750724e-06,全,9.99418359703963e-06
から,8.902559244461372e-06,――,7.969416693121012e-06,はじめる,9.596327382066505e-06,偉い,9.027449744292149e-06,◎,9.880234248749176e-06
見直す,8.897445866296039e-06,険しい,7.963649106823567e-06,肥える,9.577937074789489e-06,――,8.945903578805314e-06,ε,9.796085581714742e-06
組み合わせる,8.879115739102161e-06,よむ,7.805477297839758e-06,見直す,9.485730927516478e-06,なく,8.910142515139441e-06,また,9.76082738046724e-06
